prompt,A,B,C,D,E,answer
What were the primary themes explored by Finnish author and playwright Johannes Linnankoski in his writing during the Golden Age of Finnish Art?,"Guilt, punishment, and redemption as moral questions in society.","War, conflict, and peace as moral questions in society.","Power, ambition, and corruption as moral questions in society.","Love, friendship, and adventure as moral questions in society.","Nature, beauty, and spirituality as moral questions in society.",A
What is the location of the 2007 UCI Track World Championship Women's Points Race?,"Tokyo, Japan",The location is not specified in the provided Wikipedia excerpt.,"Paris, France","Palma de Mallorca, Spain","Sydney, Australia",D
Which character did Robert Gant portray on the Showtime series Queer as Folk?,Brian Kinney,Ben Bruckner,Michael Novotny,Justin Taylor,Emmett Honeycutt,B
"How did Wolfhill, a village in Perthshire, Scotland, get its nickname ""Snipetown""?","The nickname ""Snipetown"" originated from the abundance of snipe-shaped ornaments and decorations found in the village.","The village was nicknamed ""Snipetown"" after the snipe-shaped weather vane that was installed in the village's center.","Locals gave the village the nickname ""Snipetown"" due to the snipe hunting that was popular in the village.",The village was named after the Carolina snipe bird species that used to inhabit the area.,"The nickname ""Snipetown"" was given to the village because it was a renowned breeding ground for snipes.",C
"What does Torchy Blane, the main character in the film ""Fly-Away Baby,"" do for a living?",Airplane mechanic,Journalist,Private investigator,Flight attendant,Smuggler,B
What was the primary reason for Lillian Walker's career success as a silent film actress?,Her ability to perform her own stunts in action-packed films.,"Her prolific appearance in more than 170 films, mostly shorts, spanning over three decades.",Her close working relationship with famous directors and producers.,Her extensive training in classical stage acting techniques.,Her exceptional talent for improvising dialogue during live scenes.,B
What is an attifet?,"An attifet is a style of footwear popularized in Ancient Egypt, characterized by a tall and narrow heel.","An attifet is a type of traditional Indian clothing worn by women during special occasions, consisting of a colorful ankle-length skirt and a matching blouse.","An attifet is a ceremonial sword used in traditional Japanese martial arts, particularly in the practice of kendo.","An attifet is a small decorative accessory worn by Native American tribes, typically made of beads or feathers and worn in the hair.","An attifet is a heart-shaped headdress with a point that dips over the forehead, worn by European women in the 16th and 17th centuries. It was first worn by Catherine de Medici and Mary Queen of Scots.",E
Which songs are Romeo Void best known for?,"""Never Say Never"" and ""A Girl in Trouble""","""Strange Love"" and ""Lost in Emotion""","""Sweet Child o' Mine"" and ""November Rain""","""Don't You (Forget About Me)"" and ""Alive and Kicking""","""Take on Me"" and ""The Sun Always Shines on T.V.""",A
Which film did Kelly Ann Lynch NOT appear in?,Drugstore Cowboy,The L Word,Road House,Cocktail,Curly Sue,E
What was one of the highlights of John Baer's acting career?,He primarily had supporting roles or bit parts in his film career.,He had the leading role in the television series Terry and the Pirates (1953).,"He played the lead role in Night of the Blood Beast, a horror film by Gene and Roger Corman.",He appeared in over 60 film and television productions between 1950 and 1974.,He played the greedy heir who gets killed by a snake in Michael Curtiz's comedy We're No Angels (1955).,B
"Who founded the Bonn Women's Museum in Bonn, Germany?",Sigmund Freud and Carl Jung.,Virginia Woolf and Simone de Beauvoir.,Leonardo da Vinci and Michelangelo.,Marianne Pitzen and an interdisciplinary group of working women.,Pablo Picasso and Frida Kahlo.,D
"What were the sponsors of the Coca-Cola and Samsung Galaxy Y SoundFest music festival held in Ho Chi Minh City, Vietnam on April 14, 2012?",Pepsi and Apple.,Samsung and Apple.,Coca-Cola and Apple.,Coca-Cola and Samsung.,Samsung and Pepsi.,D
When were the first settlements of San Pietro Vernotico recorded?,The first settlements of San Pietro Vernotico were recorded in the VIII century A.D.,The first settlements of San Pietro Vernotico were recorded in the XII century A.D.,The first settlements of San Pietro Vernotico were recorded in the X century A.D.,The first settlements of San Pietro Vernotico were recorded in the XI century A.D.,The first settlements of San Pietro Vernotico were recorded in the IX century A.D.,E
"Which actor stars in the 2019 American independent biographical romantic drama film ""Ice Cream in the Cupboard""?",Tobin Bell,Claudia Ferri,Dana Ashbrook,Jaime King,Andrea Londo,D
"What is one of the notable features of the municipality of Niederhasli in the canton of Zürich, Switzerland?","Niederhasli is a well-known financial center in the canton of Zürich, housing several multinational banks and financial institutions.","Niederhasli is known for its picturesque landscape and scenic views, attracting nature enthusiasts and photographers to visit the municipality.","Niederhasli is famous for its historical landmarks, including centuries-old castles and churches that showcase the rich heritage of the region.","Niederhasli has a diverse population comprising individuals from various ethnic backgrounds, making it a multicultural hub in the canton of Zürich.","Niederhasli is renowned for its renowned universities and educational institutions, attracting students from all around the world.",B
"During his tenure as the first President of the First Spanish Republic, Estanislao Figueras y de Moragas served from:",12 February to 11 June 1873,12 February to 12 June 1873,None of the above,11 June to 12 February 1873,11 June to 11 February 1873,A
What is the main purpose of Wels Airfield in Austria?,Wels Airfield primarily serves as a medical transportation hub for emergency cases.,Wels Airfield primarily serves as a testing ground for aerospace research and development.,Wels Airfield primarily serves as a military base for air combat training exercises.,"Wels Airfield primarily serves as a business and general aviation hub, along with private and military training flights.",Wels Airfield primarily serves as an international airport for commercial scheduled services.,D
What is the main topic discussed in Federalist No. 71 by Alexander Hamilton?,The judicial branch of the United States government.,The structure of Congress in the United States government.,The process of amending the United States Constitution.,The powers and limitations of the executive branch in the United States government.,The importance of the separation of powers in the United States government.,D
Who was the top candidate for Unity for Socialism in the Barcelona constituency during the 1980 Catalan parliament election?,Manuel Gracia Luño,The information is not provided in the excerpt.,Francisco Javier Clavería,José Semente Moya,Jordi Creixans,A
What was the fate of the second USS Vigilant (YT-25)?,The second USS Vigilant (YT-25) was scrapped shortly after the end of the Spanish–American War.,The second USS Vigilant (YT-25) was transferred to another branch of the United States military after serving in the Spanish–American War.,The second USS Vigilant (YT-25) was sold to a private owner and continued serving as a tugboat until it was decommissioned in the early 1900s.,The second USS Vigilant (YT-25) was sunk during combat in the Spanish–American War.,The second USS Vigilant (YT-25) remained in active service with the United States Navy until it was decommissioned in 1927.,E
"What is the significance of Salesbury in Lancashire, England?","Salesbury is a village and civil parish centrally located in Lancashire, offering transportation links to nearby towns.",Salesbury is a historic market town known for its annual agricultural fair and farmers' market.,Salesbury is a wildlife reserve known for its diverse ecosystem and rare bird species.,"Salesbury is an island located in the River Ribble, serving as a popular tourist destination.",Salesbury is a notable manufacturing hub known for its textile industry and production of cotton goods.,A
"What is polyethylene furan-2,5-dicarboxylate (PEF)?","A polymer that can be produced by polycondensation or ring-opening polymerization of 2,5-furandicarboxylic acid (FDCA) and ethylene glycol. It is a chemical analogue of polyethylene terephthalate (PET) and is used in the production of polyethylene naphthalate (PEN). Its potential bio-based replacement for purified terephthalic acid (PTA) was proclaimed by the US department of energy in 2012.","A polymer that can be produced by polycondensation or ring-opening polymerization of 2,4-furandicarboxylic acid (FDCA) and ethylene glycol. It is a chemical analogue of polyethylene terephthalate (PET) and polyethylene naphthalate (PEN), and has gained renewed attention since the US department of energy proclaimed its building block, FDCA, as a potential bio-based replacement for purified terephthalic acid (PTA) in 2008.","A polymer that can be produced by polycondensation or ring-opening polymerization of 2,5-furandicarboxylic acid (FDCA) and 1,4-butanediol. It is a chemical analogue of polyethylene terephthalate (PET) and polyethylene naphthalate (PEN), and has gained renewed attention since the US department of energy proclaimed its building block, FDCA, as a potential bio-based replacement for purified terephthalic acid (PTA) in 2004.","A polymer that can be produced by polycondensation or ring-opening polymerization of 2,5-furandicarboxylic acid (FDCA) and ethylene glycol. It is a chemical analogue of polyethylene terephthalate (PET) and polyethylene naphthalate (PEN), and has gained renewed attention since the US department of energy proclaimed its building block, FDCA, as a potential bio-based replacement for purified terephthalic acid (PTA) in 2004.","A polymer that can be produced by polycondensation or ring-opening polymerization of 2,4-furandicarboxylic acid (FDCA) and 1,4-butanediol. It is a chemical analogue of polyethylene terephthalate (PET) and polyethylene naphthalate (PEN), and has gained renewed attention since the US department of energy proclaimed its building block, FDCA, as a potential bio-based replacement for purified terephthalic acid (PTA) in 2008.",D
What is mass production?,"Mass production is the production of standardized products in a constant flow, especially on assembly lines.",Mass production is the production of large amounts of varied products using batch production methods.,Mass production is the production of large quantities of customized products on assembly lines.,Mass production is the production of unique products using job production methods.,Mass production is the production of small amounts of specialized products on assembly lines.,A
What is the geographical location of Volpago del Montello in the Veneto region?,Volpago del Montello is located on the western coast of the Veneto region.,Volpago del Montello is positioned northeast of Venice and southeast of Treviso.,Volpago del Montello is located about 40 kilometres (25 mi) northwest of Venice.,Volpago del Montello is a comune (municipality) in the Province of Treviso in the Italian region Veneto.,Volpago del Montello is situated about 15 kilometres (9 mi) northwest of Treviso on the southern slopes of Montello.,D
Which of the following statements is true about the population statistics of Great Strickland and Little Strickland according to the provided Wikipedia excerpt?,The population of Great Strickland increased by 28 individuals from the 2001 census to the 2011 Census.,The population of Great Strickland is bigger than that of Little Strickland.,Great Strickland and Little Strickland have a combined population of 370 according to the 2001 census.,The population of Great Strickland and Little Strickland decreased from the 2001 census to the 2011 Census.,The combined population of Great Strickland and Little Strickland in 2011 was 342.,C
What is Matt Boesenberg best known for?,"Being an Australian-born actor with numerous credits in film, television, and theatre, and participating in two seasons of the Underbelly television series.","Being a skilled sportsman who has played representative cricket in Australia and England, and having numerous credits in film, television, and theatre, with notable works including ""Busman's Holiday"" and two seasons of the Underbelly television series.","Playing representative cricket in Australia and England, alongside his successful acting career in film, television, and theatre.","Starring in a film named ""Busman's Holiday"" and participating in two seasons of the Underbelly television series.","Having a successful acting career in film, television, and theatre, with notable works including ""Busman's Holiday"" and two seasons of the Underbelly television series.",B
"How did the singles from the album ""Is Nothing Sacred?"" by the Lords of the New Church perform on the UK Single Chart?","""Live for Today"" reached #91 and ""Dance with Me"" reached #85.",None of the singles from the album charted on the UK Single Chart.,"""Live for Today"" and ""Dance with Me"" both reached #85.","""Live for Today"" and ""Dance with Me"" both reached #91.","""Live for Today"" reached #85 and ""Dance with Me"" reached #91.",A
What prestigious title did Leonid Osipovich Utesov become the first pop singer to be awarded?,People's Artist of the USSR,Order of Lenin,Order of the October Revolution,Hero of the Soviet Union,Order of the Red Banner,A
What is the significance of Wuhan as a city in China?,It is located in Central China and is a major cultural hub.,It is the capital of Hubei Province.,It is one of the nine National Central Cities of China.,It has a population of over one billion.,It is the largest city in China.,C
"During what period were the works of Félix-Henri ""Henry"" Bataille popular?",Between 1910 and the start of World War I.,Between the start of World War I and 1930.,Between 1900 and 1910.,Between 1900 and the start of World War I.,Between the start of World War I and 1920.,D
"What is the significance of recognizing two subspecies of Abronia gadovii, the Gadow's alligator lizard, endemic to the highlands of the Sierra Madre del Sur in Guerrero and Oaxaca, Mexico?",To assess the impact of climate change on the distribution and population dynamics of the species.,To investigate the potential medicinal uses and chemical compounds present in the Gadow's alligator lizard.,To determine the reproductive behavior and mating preferences of Abronia gadovii in different habitats.,To understand the ecological niche and foraging patterns of Abronia gadovii in its native habitat.,To evaluate the genetic diversity and evolutionary history of the Gadow's alligator lizard.,E
What was Hugh Harman known for in the field of animation?,Hugh Harman was known for his collaboration with Rudolf Ising during the Golden Age of American animation.,Hugh Harman was known for his work on the first full-length animated feature film.,Hugh Harman was known for pioneering the use of synchronized sound in animation.,Hugh Harman was known for his contribution to the development of cell animation techniques.,Hugh Harman was known for creating the Warner Bros. Cartoons and MGM Cartoons studios.,E
What led to the establishment of the Habshi dynasty in Bengal during the Bengal Sultanate?,"The Habshi dynasty gained power through a strategic alliance with neighboring kingdoms, who provided military support.",The Habshi rulers were descendants of the previous ruling dynasty in Bengal and inherited the throne.,The Habshi rulers were invited to Bengal by prominent nobles who sought their assistance in political affairs.,The Habshi dynasty was founded through a successful rebellion against and assassination of Jalaluddin Fateh Shah of the Ilyas Shahi dynasty.,The Habshi rulers were appointed by the Ilyas Shahi dynasty as a means of maintaining control over Bengal.,D
What depth does the Indian whiting inhabit?,"The Indian whiting inhabits depths up to 50 m, where it is caught by fishermen alongside other species of Sillago.","The Indian whiting inhabits depths up to 30 m, where it is caught by fishermen alongside other species of Sillago.","The Indian whiting inhabits depths up to 40 m, where it is caught by fishermen alongside other species of Sillago.","The Indian whiting inhabits depths up to 20 m, where it is caught by fishermen alongside other species of Sillago.","The Indian whiting inhabits depths up to 10 m, where it is caught by fishermen alongside other species of Sillago.",B
"What is the highest point of Muckle Holm, a small island in Shetland, measured in meters?",30 meters,20 meters,50 meters,40 meters,23 meters,E
Who is Vilhelm Lund?,"Vilhelm Lund, sometimes credited as Wilhelm Lund, was a Norwegian actor.",Vilhelm Lund was a Swedish actor who achieved international recognition for his performances in various European productions.,Vilhelm Lund was a Finnish actor renowned for his roles in classic Finnish plays and films.,Vilhelm Lund was a Norwegian actress known for her groundbreaking portrayals of complex female characters.,Vilhelm Lund was a Danish actor known for his work in theater and film.,A
What was the role of Dobrawa of Bohemia in the Christianization of Poland?,Dobrawa of Bohemia played a critical role in influencing Mieszko I's decision to accept Christianity and promoting the adoption of the new religion in Poland.,Dobrawa of Bohemia had no significant role in the Christianization of Poland and her influence on Mieszko I's acceptance of Christianity has been exaggerated.,Dobrawa of Bohemia actively led the spreading of Christianity in Poland and personally converted many nobles and commoners to the new faith.,"Dobrawa of Bohemia was instrumental in organizing the ceremony of the Baptism of Poland and directly performed the baptism on Mieszko I, the first ruler of Poland.",Dobrawa of Bohemia served as the religious advisor to Mieszko I and was responsible for establishing the first Christian churches in Poland.,A
What position did Claudette MacKay-Lassonde hold within the Professional Association of Professional Engineers of Ontario?,Claudette MacKay-Lassonde was a Canadian engineer who served as the treasurer of the Professional Association of Professional Engineers of Ontario.,Claudette MacKay-Lassonde was the founder of the Professional Association of Professional Engineers of Ontario.,Claudette MacKay-Lassonde was a Canadian engineer who became the first woman president of the Professional Association of Professional Engineers of Ontario.,Claudette MacKay-Lassonde was a Canadian engineer who served as the vice president of the Professional Association of Professional Engineers of Ontario.,Claudette MacKay-Lassonde was a Canadian engineer who served as the secretary of the Professional Association of Professional Engineers of Ontario.,C
In which district and prefecture was Ushio Station located and which company operated it?,"Miyaki District, Saga Prefecture by Kyushu Railway Company.","Hiroshima District, Hiroshima Prefecture by Japan Railways Group.","Ōchi District, Shimane Prefecture by West Japan Railway Company.","Uda District, Nara Prefecture by East Japan Railway Company.","Akaishi District, Nagano Prefecture by Central Japan Railway Company.",C
"Which river is Shuya, the third largest town in Ivanovo Oblast, Russia, located on?",The Ob River,The Volga River,The Teza River,The Neva River,The Dnepr River,C
Which of the following describes the geographic distribution of the Trigoniaceae family of flowering plants?,"Trigoniaceae is mainly found in tropical regions such as Madagascar, Southeast Asia, Central and South America.",Trigoniaceae is exclusively found in Africa and Australia.,Trigoniaceae is distributed evenly across all continents.,Trigoniaceae is only found in North America.,Trigoniaceae is primarily found in temperate regions across the globe.,A
Which release by Hawthorne Heights is the second EP of a trilogy?,Ohio Is for Covers,Hope,Streetlight Manifesto,Ohio Is for Lovers,The Silence in Black and White,B
In which family can the genus Stellifer be found?,Carangidae,Sparidae,Mugilidae,Scombridae,Sciaenidae,E
What does the Queensland Heritage Register recognize Branyan Road State School for?,The Queensland Heritage Register recognizes Branyan Road State School for its location near Branyan Drive and Bundaberg.,The Queensland Heritage Register recognizes Branyan Road State School for its contribution to the development of public education in Queensland.,The Queensland Heritage Register recognizes Branyan Road State School for being the oldest state school in the Bundaberg Region.,The Queensland Heritage Register recognizes Branyan Road State School for its listing as a heritage site in Australia.,The Queensland Heritage Register recognizes Branyan Road State School for its unique architectural design and historical significance.,B
What is Prasiola stipitata?,Prasiola stipitata is a small green alga.,Prasiola stipitata is a microscopic blue alga.,Prasiola stipitata is a small brown alga.,Prasiola stipitata is a large red alga.,Prasiola stipitata is a medium-sized purple alga.,A
What is David Berkeley known for within the music industry?,David Berkeley gained popularity as a bass guitarist for a popular rock band.,David Berkeley is an influential music critic and journalist.,David Berkeley is best known as an American singer and songwriter.,David Berkeley is a highly acclaimed producer and audio engineer.,David Berkeley is renowned for his talent as a pianist and composer.,C
"What is the significance of Cornol in the canton of Jura, Switzerland?",Cornol is a small village known for its historical landmarks and architectural heritage.,"Cornol is a popular tourist destination in the canton of Jura, attracting visitors with its scenic landscapes.",Cornol is a municipality that plays a major role in the economy of the canton of Jura.,Cornol is the capital city of the canton of Jura in Switzerland.,Cornol is a municipality in the district of Porrentruy in the canton of Jura in Switzerland.,E
What type of cases does Michael L. Fell primarily focus on as a California criminal lawyer?,White-collar crimes and financial fraud cases.,Representation of crime victims and their families during criminal prosecutions under Marsy's Law.,Civil rights violations against law enforcement officers and agencies.,Criminal defense for individuals accused of violent crimes.,Immigration cases for individuals seeking asylum in the United States.,B
What was the international outcome of the bombardment of Dubrovnik during the Croatian War of Independence?,The bombardment had no significant impact on the international community's perception of the conflict.,The bombardment resulted in increased diplomatic and economic support for Serbia and Montenegro.,The international community intervened to stop the JNA's advance and protect Dubrovnik.,The bombardment led to the retreat of the JNA from Croatia and Bosnia and Herzegovina.,The bombardment led to the recognition of Croatia's independence and Serbia and Montenegro's diplomatic and economic isolation.,E
"What is the main plot of the film ""Branded to Kill""?",The film tells the story of a detective who becomes entangled in a dangerous love affair with a femme fatale.,The film follows the life of a yakuza boss and his rise to power in the criminal underworld.,The film depicts the struggles of a group of rebels fighting against a totalitarian regime in a dystopian future.,The film centers around a contract killer who is recruited for a seemingly impossible mission and becomes the target of a mysterious assassin.,The film explores the relationship between two siblings who embark on a road trip to discover their family's dark secrets.,D
What was the population of Clay City according to the 2010 census?,"1,203","1,602",984,"1,077","1,326",D
"What is the main plot of the film ""After Hours""?",After Hours is a drama film about a man who deals with personal and professional challenges while navigating New York City's SoHo district during the night.,After Hours is a coming-of-age film about a young teenager who explores the vibrant nightlife of New York City's SoHo district during the night.,After Hours is a romantic comedy film about a man who falls in love with a woman he meets in a coffee shop in New York City's SoHo district during the night.,After Hours is a thriller film about a man who becomes trapped in a mysterious house after a series of unfortunate events on his way home from New York City's SoHo district during the night.,After Hours is a sci-fi film about a man who discovers a hidden portal in New York City's SoHo district that takes him to a parallel dimension during the night.,A
What was the Ford Falcon (EA) and its luxury-oriented version called?,"The Ford Falcon (EA) was a compact car produced by Ford Australia from 1988 to 1991, while the luxury-oriented version was called the Ford Fairmont (EA).","The Ford Falcon (EA) was a mid-size car produced by Ford Australia from 1988 to 1991, while the luxury-oriented version was called the Ford Fairmont (EA).","The Ford Falcon (EA) was a full-size car produced by Ford Australia from 1988 to 1991, while the luxury-oriented version was called the Ford Fairmont (EA).","The Ford Falcon (EA) was a sports car produced by Ford Australia from 1988 to 1991, while the luxury-oriented version was called the Ford Fairmont (EA).","The Ford Falcon (EA) was an electric car produced by Ford Australia from 1988 to 1991, while the luxury-oriented version was called the Ford Fairmont (EA).",C
"What is the significance of Only the Generals, Pt. II in Kevin Gates' discography?","Only the Generals, Pt. II features collaborations with multiple renowned artists, showcasing Kevin Gates' ability to collaborate and connect with other musicians.","Only the Generals, Pt. II marks a shift in Kevin Gates' musical genre, departing from his signature sound and exploring new experimental territories.","Only the Generals, Pt. II follows up on Kevin Gates' EP Only the Generals Gon Understand, continuing the narrative and themes explored in the previous release.","Only the Generals, Pt. II is Kevin Gates' debut mixtape, introducing his unique style and lyrical prowess to the music scene.","Only the Generals, Pt. II is a compilation of Kevin Gates' greatest hits, highlighting the artist's most popular songs from his previous albums.",C
What is the main subject of Małgorzata Tarasiewicz's involvement and activism?,Human rights,Education reform,Environmental conservation,Gender equality,Healthcare advocacy,C
What is Jan Tony Soren Rickardsson famous for in the world of motorcycle speedway?,Jan Tony Soren Rickardsson is famous for winning four Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning three Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning seven Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning five Speedway World Championship titles in 15 attempts.,Jan Tony Soren Rickardsson is famous for winning six Speedway World Championship titles in 15 attempts.,E
Which famous fossil is preserved in such detail that it is considered among the most beautiful in the world in the Solnhofen Plattenkalk?,Highly detailed imprints of marine reptiles,A rare assemblage of sea jellies,Pterosaurs with intricate fossilization,The early feathered theropod dinosaur Archaeopteryx,An extensive exhibit of Jurassic fossils,D
"What is Dark Horse, the sixth studio album by the Canadian rock band Nickelback, known for?",It is known for its re-entry on the Billboard 200 at number 195 more than six years after its release.,"It is known for its debut at number 2 on the Billboard 200 and selling 326,000 copies in its first week.",It is known for its multi-platinum selling status and being the follow-up to All the Right Reasons.,"It is known for featuring collaborations with Foreigner, AC/DC, Bryan Adams, Def Leppard, and Shania Twain.","It is known for being co-produced by the band and producer Robert John ""Mutt"" Lange.",C
What was H. Wilfrida Leakey's significant discovery in the field of paleoanthropology?,"Leakey discovered a lost civilization at FLK, revealing advanced technologies and societal structures.",Leakey discovered an ancient stone tool and fossil site known as Frida Leakey Korongo (FLK).,Leakey discovered a collection of ancient pottery and ceramic artifacts at FLK.,"Leakey discovered a new species of hominid at FLK, challenging existing theories of human evolution.","Leakey discovered a vast underground cave system near FLK, containing intricate rock formations.",B
"What is the latest official estimate of the population of Chepo, a district in Panamá Province, Panama?","59,382",The population of Chepo is unknown.,The population of Chepo has not been officially estimated.,"32,195","4,937 km²",A
Which of the following statements accurately describes Clyde Football Club's accomplishments in Scottish football?,Clyde Football Club has won the Scottish Cup once and reached the final twice during a long period based at Shawfield.,Clyde Football Club has won the Scottish Cup three times and reached the final three times during a long period based at Shawfield.,Clyde Football Club has never won the Scottish Cup and has never reached the final during a long period based at Shawfield.,Clyde Football Club has won the Scottish Cup four times and reached the final six times during a long period based at Shawfield.,Clyde Football Club has won the Scottish Cup twice and reached the final four times during a long period based at Shawfield.,B
What is the current status of metrication in the United States?,"Metrication is mandatory in all industries and governmental use, with no remaining use of U.S. customary units.",Metrication is optional and industries have the choice to convert or continue to use U.S. customary units.,The United States has fully converted to the metric system and no longer uses U.S. customary units.,"The United States has implemented metrication in some industries, while others continue to use U.S. customary units.","Metrication is not implemented in the United States, and U.S. customary units remain in common use in many industries as well as in governmental use.",E
"What is the significance of Handle Hall in Littleborough, Greater Manchester?",Handle Hall is a well-known entertainment venue that hosts regular live music performances.,Handle Hall is a renowned educational institution that specializes in arts and crafts.,Handle Hall is a popular tourist attraction that offers guided tours showcasing its rich historical and architectural features.,Handle Hall is a privately-owned historic house that is open to the public and known for its beautiful gardens and parkland.,Handle Hall is a Grade II listed building that serves as the headquarters of the local government in Littleborough.,D
"What is the typical number of strings on a tiple, a string instrument of Puerto Rico?",Most tiples have three strings.,Most tiples have a single string.,Most tiples have six strings.,Most tiples have four or five strings.,Most tiples have as many strings as the player prefers.,D
Which order do parasitic worms of the family Rhadinorhynchidae belong to?,Monogenea,Acanthocephala,Trematoda,Echinorhynchoida,Nematoda,B
"What is a notable fact about François Barraud, the Swiss painter?",He was highly influential in the development of Cubism in the early 20th century.,He lived during the 19th century and was a leading figure in the Impressionist movement.,"He specialized in landscape paintings, depicting serene natural scenes.",He was known for his use of vibrant colors and abstract art.,He was commissioned by the Swiss government to create a series of portraits of prominent political figures.,D
What is the significance of Thomas Henry Hellyer?,Thomas Henry Hellyer was a renowned author and historian specializing in Australian politics.,"Thomas Henry Hellyer was an Australian politician and solicitor, known for his contributions to public service and legal affairs.","Thomas Henry Hellyer was a prominent member of the Australian judiciary, serving as a judge for several high-profile cases.","Thomas Henry Hellyer was an influential figure in the Australian legal system, known for his expertise in criminal law.","Thomas Henry Hellyer was a celebrated artist and sculptor, known for his iconic works exhibited in galleries across Australia.",B
What can be said about the game Kings & Things based on the provided Wikipedia excerpt? ,Kings & Things is a 4-player fantasy board game designed by Tom Wham and co-published in 1986 by West End Games in North America and Games Workshop in the UK.,"Kings & Things is a newer edition of a fantasy board game designed by Tom Wham, published in 2010 by Pegasus Spiele and Z-Man Games.",Kings & Things is a 2-player fantasy board game designed by Tom Wham and co-published in 1986 by West End Games in North America and Games Workshop in the UK.,Kings & Things is a 4-player science fiction board game designed by Tom Wham and co-published in 1986 by West End Games in North America and Games Workshop in the UK.,Kings & Things is a play-by-mail fantasy board game designed by Tom Wham and co-published in 1986 by West End Games in North America and Games Workshop in the UK.,A
Where did UFC on ESPN: Kattar vs. Ige take place?,"At Barclays Center, Brooklyn, United States.","At Madison Square Garden, New York, United States.","At Staples Center, Los Angeles, United States.","At du Forum, Yas Island, Abu Dhabi, United Arab Emirates.","At T-Mobile Arena, Las Vegas, United States.",D
How did the 2015 Robert Morris Colonials football team finish in the Northeast Conference?,The 2015 Robert Morris Colonials football team finished in second place in the Northeast Conference.,The 2015 Robert Morris Colonials football team finished in sixth place in the Northeast Conference.,The 2015 Robert Morris Colonials football team finished in fourth place in the Northeast Conference.,The 2015 Robert Morris Colonials football team finished in third place in the Northeast Conference.,The 2015 Robert Morris Colonials football team finished in first place in the Northeast Conference.,B
"What is a defining feature of Hot Chip's album ""Made in the Dark""?",The exploration of different musical genres such as rock and hip-hop.,The incorporation of experimental electronic sounds and beats.,The integration of classical orchestral arrangements.,The inclusion of instrumental tracks with no vocals.,The emphasis on political themes and social commentary.,B
What is the primary mechanism used in time-sharing computing?,Time-sharing is based on space division multiplexing to allocate computing resources to multiple users.,Time-sharing is based on time division multiplexing to allocate computing resources to multiple users.,Time-sharing relies on single-tasking to allocate computing resources to multiple users.,Time-sharing utilizes parallel processing to allocate computing resources to multiple users.,Time-sharing is based on frequency division multiplexing to allocate computing resources to multiple users.,B
"What is unique about the Tornado outbreak of August 24, 2006?","The outbreak was limited to North Dakota and Minnesota, with no tornadoes reported in South Dakota.",The outbreak resulted in $130 million in damage due to severe hail in only one state.,"The outbreak produced a high number of tornadoes, totaling 14, which is the highest number of tornadoes ever recorded in a single day.","The outbreak occurred during the winter, making it an unusual weather event for the region.","The outbreak produced three F3 tornadoes, the strongest category of tornadoes, causing significant damage and a fatality.",E
What is the significance of Kramgoa låtar 8?,Kramgoa låtar 8 is a 1980 Vikingarna studio album. The album was released in two versions and was later reissued on CD in 1996.,Kramgoa låtar 8 is a compilation album featuring various popular Swedish artists. It was released in 1980 and includes a collection of traditional folk songs.,"Kramgoa låtar 8 is a rock album by the band Vikingarna. Released in 1980, it was their eighth studio album and received positive reviews from critics.",Kramgoa låtar 8 is a musical soundtrack for a Swedish film released in 1980. It became a chart-topping hit and featured songs performed by various artists.,Kramgoa låtar 8 is a tribute album dedicated to the works of Swedish songwriter and composer Björn Ulvaeus. It features cover versions of his most famous songs.,A
"What is the significance of the song ""Naisho no Hanashi"" by ClariS?","""Naisho no Hanashi"" is a classical instrumental piece composed by Ryo and performed by ClariS.","""Naisho no Hanashi"" is a jazz ballad sung by a soloist and has no connection to ClariS.","""Naisho no Hanashi"" is a rock song written and sung by Kazuaki Nakamura, with ClariS as the featured artists.","""Naisho no Hanashi"" is a pop song by ClariS, written by Ryo, and serves as the ending theme to the anime series Nisemonogatari.","""Naisho no Hanashi"" is a traditional Japanese folk song that ClariS covered and released as a single.",D
What is the significance of the Damjili cave site in Azerbaijan?,The cave site is associated with a famous archaeological discovery that rewrote the understanding of prehistoric civilizations in the region.,The cave site is believed to have been a sanctuary for ancient rituals and religious ceremonies.,The cave site provides evidence of human presence during the Neolithic and Iron Age periods.,"The cave site is known for its unique half-circular shape, making it a distinctive landmark in Azerbaijan.",The cave site provides evidence of prehistoric human presence during the Paleolithic and Mesolithic periods.,E
Which actor is James Daniel Parnell referred to as in the provided Wikipedia excerpt?,James Franco,Parnell James,James Daniel Parnell,Daniel Craig,James Dean,C
Where is the Church of the Holy Innocents located?,"The Church of the Holy Innocents is a Catholic parish church in the Archdiocese of Chicago, Illinois.","The Church of the Holy Innocents is a Catholic parish church in the Archdiocese of Washington, D.C.","The Church of the Holy Innocents is a Catholic parish church in the Archdiocese of New York, located at 128 West 37th Street at Broadway, Manhattan, New York City.","The Church of the Holy Innocents is a Catholic parish church in the Archdiocese of Los Angeles, California.","The Church of the Holy Innocents is a Catholic parish church in Brooklyn, New York.",C
